1	the movie is just awesome.
0	the movie sucks.
1	i liked the movie a lot.
1	I really like the movie.
1	i love the movie....
1	i loved the movie..
1	the movie is AN AWESOME movie....
1	I enjoyed the movie.
1	the movie is amazing.
1	the movie was awesome...
1	people who are worth it know how much i love the movie.
1	the movie was absolutely AWESOME!
1	the movie was an awesome movie...
1	the movie was beautiful...
0	I hate the movie.
0	the movie sucked.
0	I really hate the movie..
0	i heard the movie get only 2 stars:
0	the movie is dumb.
0	which is probably why I disliked the movie...
0	Stupid the movie reference i did.
0	I thought the movie was a terrible movie.
0	the movie was incredibly depressing...
0	Ok the movie is such a horrible movie.
0	Oh, and the movie was a terrible movie.
